year,month,Q
1986,1,56.415725486352
1986,2,24.8155855926276
1986,3,8.98802749647217
1986,4,15.0678450850745
1986,5,72.4900761449694
1986,6,103.934670486906
1986,7,172.292667500278
1986,8,298.511645412158
1986,9,348.776687143411
1986,10,144.766155434792
1986,11,143.713056191814
1986,12,153.532792516576
1987,1,106.748896196256
1987,2,39.4790921253236
1987,3,29.6200685012792
1987,4,14.1645272542988
1987,5,23.5439079632044
1987,6,86.0513812779276
1987,7,38.3970449556378
1987,8,554.528312110775
1987,9,421.353970894476
1987,10,204.488912058105
1987,11,163.797315758826
1987,12,121.173484528291
1988,1,42.3790658452692
1988,2,21.1030645925081
1988,3,7.68708886609399
1988,4,29.5338598698469
1988,5,190.90888226619
1988,6,482.73954365652
1988,7,229.447106785674
1988,8,244.888255059136
1988,9,206.080243604568
1988,10,196.079444359306
1988,11,200.081244219528
1988,12,150.233073564646
1989,1,49.0484826530056
1989,2,21.1223867917209
1989,3,14.6122984507211
1989,4,2.30023341105933
1989,5,48.1441622521815
1989,6,70.878741538976
1989,7,87.0100926793801
1989,8,93.7451683187185
1989,9,226.052494636151
1989,10,241.357607321344
1989,11,101.036729975404
1989,12,105.646141936805
1990,1,13.3983741186926
1990,2,12.6017269418258
1990,3,3.5623947042276
1990,4,7.84769215071783
1990,5,97.3972156546052
1990,6,104.143818686995
1990,7,63.2063384517388
1990,8,142.337243896352
1990,9,206.081347448486
1990,10,187.698793637251
1990,11,165.995801485877
1990,12,113.367807976178
1991,1,38.276069455421
1991,2,16.4973947198619
1991,3,39.1494625562991
1991,4,22.7942710811419
1991,5,18.433000395888
1991,6,57.1669271393363
1991,7,20.4996113451725
1991,8,323.875141220374
1991,9,410.932402640026
1991,10,140.385965141637
1991,11,152.764790255161
1991,12,109.974040456043
1992,1,35.4688790304027
1992,2,30.0961184842253
1992,3,10.3438945258688
1992,4,5.30952946181162
1992,5,3.98913674070272
1992,6,11.6839601214293
1992,7,70.9102943773382
1992,8,120.054886758205
1992,9,353.73667748651
1992,10,218.011225131826
1992,11,161.655720433858
1992,12,198.701269817035
1993,1,111.291389201523
1993,2,34.1828206961092
1993,3,24.9263366898549
1993,4,19.2099054619369
1993,5,58.5888883309784
1993,6,70.8243429983207
1993,7,85.5360320110927
1993,8,147.105961751973
1993,9,416.72245391637
1993,10,205.584139151178
1993,11,136.571726846867
1993,12,101.061120922701
1994,1,28.4182175630801
1994,2,11.4928912030427
1994,3,235.905497743884
1994,4,57.8640743447403
1994,5,139.324504734501
1994,6,204.85468537127
1994,7,224.332450085775
1994,8,682.383864707939
1994,9,616.873320259771
1994,10,162.550796423084
1994,11,125.75802974402
1994,12,118.148925917205
1995,1,39.8371123973259
1995,2,17.7045560330201
1995,3,17.5262695431141
1995,4,14.3666523748421
1995,5,57.7420279600861
1995,6,41.0550408590704
1995,7,236.899977512646
1995,8,719.742448402877
1995,9,399.668199496689
1995,10,129.697828097074
1995,11,125.594199281094
1995,12,107.779889408459
1996,1,13.5133476062586
1996,2,25.4647893377437
1996,3,6.76214796964495
1996,4,17.9666633401843
1996,5,40.3501188580277
1996,6,137.291370288646
1996,7,170.421358104313
1996,8,435.829615956531
1996,9,363.252625999569
1996,10,204.454816202928
1996,11,196.589846284657
1996,12,118.38655898309
1997,1,37.8522465829399
1997,2,15.8110556647426
1997,3,10.0690179951929
1997,4,5.08459996686247
1997,5,16.7643046548927
1997,6,0.923423562727064
1997,7,152.344665629242
1997,8,275.781045195634
1997,9,450.20963892258
1997,10,432.140130331948
1997,11,138.246087826188
1997,12,105.974245682001
1998,1,35.8621130304235
1998,2,15.0871457973408
1998,3,12.9087480513891
1998,4,6.84448546113296
1998,5,54.666428553683
1998,6,85.2074635641823
1998,7,63.3023959171572
1998,8,115.178938731399
1998,9,192.613004177427
1998,10,86.1669757266802
1998,11,101.097419049996
1998,12,82.5795244375171
1999,1,42.3600367825031
1999,2,42.0155205929963
1999,3,25.1818314726278
1999,4,33.1995597466617
1999,5,116.876358101117
1999,6,79.2832522637767
1999,7,31.868020350911
1999,8,163.930670809631
1999,9,409.678906988881
1999,10,205.02104226803
1999,11,157.525042325144
1999,12,116.473091341615
2000,1,38.162219203183
2000,2,44.8156376972331
2000,3,63.7596884363634
2000,4,35.7209494381592
2000,5,130.029994207934
2000,6,122.294514642772
2000,7,70.4936161596857
2000,8,111.382165856668
2000,9,171.736824228265
2000,10,170.047558106602
2000,11,146.019524746634
2000,12,106.936323545649
2001,1,33.9477305037754
2001,2,14.3538687201605
2001,3,133.430036261151
2001,4,25.7400149268874
2001,5,126.385601947436
2001,6,98.3860364704172
2001,7,296.168926742977
2001,8,417.071131843505
2001,9,269.29317315367
2001,10,226.648359355996
2001,11,163.91944774529
2001,12,112.979002147963
2002,1,41.387900245042
2002,2,33.7869916616325
2002,3,11.3458075949013
2002,4,10.1587022797964
2002,5,131.958514930225
2002,6,99.5386706008643
2002,7,42.4879989491756
2002,8,264.182266198684
2002,9,529.416197460408
2002,10,325.132304427765
2002,11,369.935394879437
2002,12,202.359118324343
2003,1,82.1283870162294
2003,2,32.5609433215067
2003,3,58.9975247209791
2003,4,29.9586409095065
2003,5,47.4791932269791
2003,6,94.101924246921
2003,7,60.9984186898812
2003,8,206.938102274613
2003,9,541.592717285447
2003,10,115.636315569112
2003,11,105.330517551594
2003,12,83.2864939426349
2004,1,26.9541015108368
2004,2,9.92389406752416
2004,3,8.68099324575176
2004,4,19.5139063918632
2004,5,94.9450857954211
2004,6,128.92712211008
2004,7,233.666401767313
2004,8,171.027839477322
2004,9,760.854069076309
2004,10,138.679218222044
2004,11,117.678955122128
2004,12,103.976830841971
2005,1,34.3026247649494
2005,2,15.3099091467004
2005,3,76.9858486680656
2005,4,22.5567915591645
2005,5,45.7498001077474
2005,6,113.540891908884
2005,7,212.62070544968
2005,8,363.797626017965
2005,9,879.933993936987
2005,10,393.860830695763
2005,11,251.200418193615
2005,12,158.203489528172
